                           項目,概略, 完了未完了,項目重要度,           設計書名,                    設計書重要度
                        3163808,    ,           ,          ,                   ,
                       機能要件,    ,"done, yet",      Must,         要件定義書,                            Must
                       画面一覧,    ,       done,      Must,           画面一覧,                          Should
                 画面レイアウト,    ,       done,      Must, 画面レイアウト定義,                            Must
                      ERDiagram,    ,       done,      Must,       テーブル定義,                            Must
                物理名・API概要,    ,       done,      Must,            API一覧,                            Must
I/F定義、エラーレスポンスリンク,    ,       done,      Must,APIインターフェース,                            Must
             レスポンスサンプル,    ,       done,      Must,         エラー関連,                            Must
                 物理名・論理名,    ,       done,      Must,           機能設計,                            Must
                     見送り機能,    ,        yet,          ,         要件定義書,                            Must
   リリースまでの仮スケジュール,    ,           ,          ,         要件定義書,
                     業務フロー,    ,           ,          ,         要件定義書,
                     画面遷移図,    ,           ,          ,         要件定義書,
                   画面イメージ,    ,           ,          ,         要件定義書,
                        API一覧,    ,           ,          ,         要件定義書,
                   テーブル一覧,    ,           ,          ,         要件定義書,
                       確認事項,    ,           ,          ,         要件定義書,
                 画面レイアウト,    ,           ,          , 画面レイアウト定義,
                       項目定義,    ,           ,          ,       テーブル定義,
           物理名とテーブル概要,    ,           ,          ,       テーブル定義,
             テーブルごとの定義,    ,           ,          ,       テーブル定義,
               エラーコード定義,    ,           ,          ,         エラー関連,
               エラーメッセージ,    ,           ,          ,         エラー関連,
                           引数,    ,           ,          ,           機能設計,
                            I/O,    ,           ,          ,           機能設計,
                     エラー処理,    ,           ,          ,           機能設計,
                       運用設定,    ,           ,          ,           機能設計,
                   簡易ロジック,    ,           ,          ,           機能設計,
                       フロー図,    ,           ,          ,           機能設計,
